On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
1,0,5,4,3,|,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,|,0,0.786,0,0,0,0,0,35.907,52.663,5.914,3.644,1.086,0,0,0,3,1,100,1,1,1
1,0,5,4,4,|,6,0,0,0,0,0,0,0,0,16.667,83.333,0,0,0,0,0,|,0.133,0,0,0,0,0,0,1.955,39.125,46.185,9.425,3.057,0.109,0.006,0.006,4,5,83.333,0.056,0.006,1
0,2,1,2,6,|,62,0,0,0,0,0,0,0,0,0,0,12.903,56.452,27.419,3.226,0,|,0,0.001,0.19,0.126,0.065,0.041,1.903,0.001,0.003,0.064,9.865,62.428,21.255,3.499,0.561,6,35,56.452,0,0,1
0,1,2,4,5,|,349,0,0,0,0,0,0,0,0,1.433,15.186,56.447,24.642,1.719,0.573,0,|,0,0.014,0,0.024,0.011,0,0.016,0.018,0.536,19.753,63.166,15.427,0.835,0.187,0.014,5,197,56.447,0,0,1
1,1,3,2,3,|,149,0,0,0,0,0,0,0,6.04,56.376,24.161,4.698,8.725,0,0,0,|,0,0.014,0.018,0.044,0.021,0.033,0.554,8.224,56.971,16.09,9.293,7.945,0.59,0.164,0.038,3,84,56.376,0,0,1
0,1,2,4,9,|,96,0,0,10.417,2.083,0,0,0,0,0,0,0,0,1.042,30.208,56.25,|,0,0,8.494,0.859,0.15,0.034,0.086,0,0,0.013,0,0,2.08,32.44,55.844,9,54,56.25,0,0,1
2,0,2,2,9,|,64,0,0,15.625,1.562,0,0,0,0,0,0,0,0,1.562,25,56.25,|,0,0,15.429,1.781,0.27,0.086,0.388,0,0,0,0.001,0.003,0.256,15.156,66.631,9,36,56.25,0,0,1
1,0,5,4,10,|,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,|,0,0,46.353,4.451,0.145,0.048,0.01,0,0,0,0,0,0,5.025,43.968,10,2,100,0.983,0.929,1
1,0,5,4,11,|,5,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,|,0,0,46.877,43.763,4.105,0.137,0.029,0,0,0,0,0,0,0.281,4.809,10,4,80,0.103,0,0
1,0,5,4,14,|,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.417,15.927,77.287,0,0,0,0,5.473,0,0.896,0,14,1,100,1,1,1
1,0,5,5,6,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,|,0,0,0,0.003,0.002,0,0.001,0,0,0,8.242,89.509,2.119,0.102,0.022,6,0,0,1,1,1
1,1,0,2,1,|,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,|,8.986,60.39,0.321,0.343,1.321,0.384,11.374,10.139,0.914,0.377,2.625,1.358,0.579,0.658,0.234,1,0,0,1,1,1
1,1,0,2,2,|,3,0,0,0,0,0,0,0,33.333,33.333,0,0,33.333,0,0,0,|,0.026,13.013,0.231,0.37,0.158,0.704,8.033,52.284,12.185,2.105,4.574,5.434,0.441,0.185,0.258,2,1,33.333,0.665,0,1
0,1,1,3,6,|,48,0,0,0,0,0,0,0,0,0,0,6.25,56.25,35.417,0,2.083,|,0,0,0,0,0.1,0,0,0,0.032,1.648,10.915,44.681,36.554,5.082,0.987,6,27,56.25,0,0,1
1,1,2,4,11,|,121,0,0,28.926,56.198,11.57,0,0,0,0,0,0,0,0,0,3.306,|,0,0,32.686,55.455,9.018,0.409,0.153,0,0,0,0,0,0,0.071,2.208,11,68,56.198,0,0,1
0,1,1,2,5,|,1576,0,0,0,0.063,0,0,0.063,0,0.063,13.769,56.155,26.713,2.919,0.254,0,|,0,0,0.047,0.028,0.013,0.023,0.674,0.001,0.039,9.91,62.409,22.732,3.292,0.646,0.186,5,885,56.155,0,0,1
1,1,4,4,5,|,57,0,0,0,0,0,0,0,0,0,24.561,56.14,19.298,0,0,0,|,0,0.048,0,0.004,0.002,0,0.001,0.043,1.003,26.441,60.934,11.014,0.426,0.079,0.005,5,32,56.14,0,0,1
1,2,3,4,7,|,57,0,0,0,1.754,0,0,0,0,0,0,0,22.807,56.14,17.544,1.754,|,0,0,0.057,0.019,0.024,0.025,0.017,0,0,0.019,1.446,30.018,57.833,10.07,0.472,7,32,56.14,0,0,1
0,1,3,2,2,|,266,0,5.263,0,0,0,0,2.632,56.015,21.429,1.504,7.895,4.135,0.752,0.376,0,|,0.018,8.925,0.071,0.098,0.032,0.15,2.09,57.503,16.11,2.808,5.939,5.687,0.351,0.107,0.111,2,149,56.015,0,0,1
0,1,4,3,4,|,25,0,0,0,0,0,0,0,0,28,56,16,0,0,0,0,|,0,0,0.068,0,0,0,0,0.371,13.139,50.628,32.627,2.888,0.279,0,0,4,14,56,0,0,1
2,0,1,4,11,|,25,0,0,12,56,32,0,0,0,0,0,0,0,0,0,0,|,0,0,29.701,59.34,9.052,0.358,0.094,0,0,0,0,0,0,0.035,1.421,11,14,56,0,0,1
0,1,3,4,7,|,234,0,0,0,0,0,0,0,0,0,0,1.282,35.47,55.983,6.838,0.427,|,0,0,0.041,0.015,0.013,0.014,0.007,0,0,0.022,1.748,34.475,55.241,7.999,0.425,7,131,55.983,0,0,1
1,0,0,4,8,|,84,0,0,1.19,0,0,0,0,0,0,0,0,3.571,27.381,55.952,11.905,|,0,0,0.864,0.117,0.057,0,0,0,0,0,0.031,1.615,30.369,56.011,10.935,8,47,55.952,0,0,1
1,2,2,4,8,|,59,0,0,0,0,0,0,0,0,0,0,0,3.39,23.729,55.932,16.949,|,0,0,0.791,0.104,0.055,0,0,0,0,0,0.021,1.317,29.572,58.589,9.551,8,33,55.932,0,0,1
0,0,1,2,4,|,1517,0,0,0,0.066,0.066,0,0.659,0.066,9.69,55.9,22.215,10.218,0.725,0.396,0,|,0,0,0.088,0.052,0.03,0.029,0.835,0.058,11.831,60.443,16.961,8.679,0.706,0.222,0.067,4,848,55.9,0,0,1
1,1,0,3,7,|,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,0.837,0.083,0.108,0.095,0.12,0,0,0.012,3.143,11.986,40.202,37.086,6.327,7,0,0,1,1,1
1,1,0,3,8,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,5.611,0.448,0.096,0.084,0.054,0,0,0,0,6.109,13.009,40.055,34.534,8,0,0,1,1,1
1,1,0,3,12,|,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,|,0,0,13.683,16.213,45.219,21.318,3.367,0,0,0,0,0.026,0,0,0.175,12,1,100,1,1,1
1,1,0,4,2,|,3,0,0,0,0,0,0,0,66.667,33.333,0,0,0,0,0,0,|,0.796,27.432,0,0,0,0,0,42.186,11.017,2.97,7.25,8.349,0,0,0,2,2,66.667,0.796,0,1
1,1,0,4,3,|,3,0,0,0,0,0,0,0,0,66.667,0,33.333,0,0,0,0,|,0,0.602,0,0,0,0,0,25.205,46.635,8.255,11.131,8.172,0,0,0,3,2,66.667,0.702,0.001,1
0,2,3,2,8,|,43,0,0,4.651,0,0,0,0,0,0,0,0,0,11.628,55.814,27.907,|,0,0,1.775,0.169,0.09,0.056,0.594,0,0,0,0.003,0.264,15.389,69.252,12.407,8,24,55.814,0,0,1
0,1,1,2,12,|,261,0,0,0,20.307,55.556,18.008,4.598,0,0,0,0,0.383,0.766,0.383,0,|,0,0,0.267,17.996,68.09,11.992,1.633,0,0,0,0,0.001,0.01,0.004,0.007,12,145,55.556,0,0,1
2,0,1,4,5,|,63,0,0,0,0,0,0,0,0,0,6.349,55.556,28.571,7.937,1.587,0,|,0,0,0,0.1,0.044,0,0.028,0,0.809,18.784,59.532,18.866,1.367,0.431,0.041,5,35,55.556,0,0,1
1,1,3,4,13,|,36,0,0,0,0,41.667,55.556,2.778,0,0,0,0,0,0,0,0,|,0,0,0,2.171,38.671,53.542,5.616,0,0,0,0,0,0,0,0,13,20,55.556,0,0,1
0,0,2,4,13,|,18,0,0,0,11.111,27.778,55.556,5.556,0,0,0,0,0,0,0,0,|,0,0,0,1.654,31.328,53.756,13.261,0,0,0,0,0,0,0,0,13,10,55.556,0,0,1
1,1,0,4,4,|,18,0,0,0,0,0,0,0,0,27.778,55.556,16.667,0,0,0,0,|,0.089,0,0,0,0,0,0,0.886,22.36,41.605,18.579,14.842,1.172,0.144,0.322,4,10,55.556,0,0,1
2,1,2,2,11,|,18,0,0,27.778,55.556,16.667,0,0,0,0,0,0,0,0,0,0,|,0,0,14.554,68.163,14.609,1.881,0.501,0,0,0,0,0.003,0.004,0.009,0.276,11,10,55.556,0,0,1
0,0,2,3,2,|,9,0,11.111,0,0,0,0,0,55.556,33.333,0,0,0,0,0,0,|,0,6.66,0,0,0,0,0,53.732,37.199,2.41,0,0,0,0,0,2,5,55.556,0,0,1
0,1,4,4,4,|,9,0,0,0,0,0,0,0,0,44.444,55.556,0,0,0,0,0,|,0.127,0,0,0,0,0,0,1.361,30.092,43.169,15.887,8.811,0.46,0.037,0.055,4,5,55.556,0.01,0.004,1
1,2,2,3,5,|,9,0,0,0,0,0,0,0,0,0,0,55.556,44.444,0,0,0,|,0,0,0,0,0,0,0,0.036,0.679,10.154,48.887,36.418,3.665,0.082,0.08,5,5,55.556,0,0.914,1
0,0,0,2,7,|,821,0,0,0.487,0.244,0.244,0,0.122,0,0,0,0.487,16.931,55.42,21.437,4.629,|,0,0,0.317,0.084,0.05,0.005,0.569,0,0.001,0,0.191,14.385,67.603,14.904,1.892,7,455,55.42,0,0,1
1,1,0,5,0,|,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,53.139,0,0,0,0,0,0,0,0,1.872,2.21,29.506,5.958,3.392,3.923,0,0,0,1,1,1
1,1,0,5,4,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,19.278,9.136,0,0,0,0,0,0,26.501,12.755,6.931,7.832,17.566,5,0,0,1,1,0
1,1,0,5,6,|,2,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,|,0,0,0,0.154,0.226,0,0.178,0,0,0,3.384,90.533,4.758,0.506,0.261,6,1,50,0.66,0.999,1
1,1,0,5,8,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,0,0.283,0,0,0,0,0,0,0.479,0.546,14.345,81.557,2.79,8,0,0,1,1,1
1,1,0,5,12,|,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,|,0,0,7.883,26.666,65.45,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1
1,1,0,5,14,|,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,4.363,12.523,82.312,0,0,0,0,0.803,0,0,0,14,1,100,1,1,1
1,1,0,6,12,|,2,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,|,0,0,0,4.409,33.794,27.465,5.39,0,0,0,0,5.687,12.55,10.704,0,12,1,50,1,0.572,1
1,1,0,6,13,|,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,4.568,0,0,37.377,37.505,0,0,0,2.288,11.813,6.45,0,0,14,1,100,1,1,0
0,2,2,2,5,|,65,0,0,0,0,0,0,1.538,0,0,4.615,55.385,33.846,4.615,0,0,|,0,0,0.036,0.021,0.015,0.034,2.904,0.001,0.045,9.074,61.991,21.915,3.208,0.621,0.137,5,36,55.385,0,0,1
1,1,1,2,0,|,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,59.201,18.537,1.129,0,0,0,4.722,2.627,0.587,1.116,3.711,4.122,1.042,1.402,1.804,0,0,0,1,1,1
1,2,3,2,6,|,65,0,0,0,0,0,0,0,0,0,0,12.308,55.385,29.231,3.077,0,|,0,0.001,0.055,0.026,0.014,0.009,0.367,0.001,0.004,0.101,14.223,68.221,14.927,1.842,0.209,6,36,55.385,0,0,1
2,1,1,2,9,|,65,0,0,18.462,1.538,0,0,0,0,0,0,0,0,1.538,23.077,55.385,|,0,0,20.151,2.616,0.36,0.087,0.197,0,0,0,0,0.001,0.124,10.25,66.214,9,36,55.385,0,0,1
0,0,1,2,13,|,159,0,0,0,1.887,16.352,55.346,25.786,0,0,0,0,0.629,0,0,0,|,0,0,0.015,0.242,18.949,64.597,16.183,0,0,0,0.002,0.006,0.005,0,0,13,88,55.346,0,0,1
1,1,1,4,13,|,47,0,0,0,6.383,31.915,55.319,6.383,0,0,0,0,0,0,0,0,|,0,0,0,2.402,41.109,51.695,4.794,0,0,0,0,0,0,0,0,13,26,55.319,0,0,1
0,0,4,3,5,|,87,0,0,0,0,0,0,0,0,1.149,31.034,55.172,12.644,0,0,0,|,0,0,0,0,0,0,0,0.095,1.44,18.178,55.195,23.736,1.324,0.018,0.014,5,48,55.172,0,0,1
1,0,3,4,11,|,58,0,0,39.655,55.172,3.448,0,0,0,0,0,0,0,0,0,1.724,|,0,0,36.692,51.859,7.936,0.35,0.12,0,0,0,0,0,0,0.12,2.923,11,32,55.172,0,0,1
1,0,3,4,7,|,272,0,0,0,0,0,0,0,0,0,0.368,0.368,35.662,55.147,8.456,0,|,0,0,0.024,0.007,0.007,0.007,0.003,0,0,0.045,2.663,39.462,51.088,6.427,0.268,7,150,55.147,0,0,1
0,1,1,4,11,|,49,0,0,28.571,55.102,14.286,0,0,0,0,0,0,0,0,0,2.041,|,0,0,29.083,59.918,8.871,0.339,0.109,0,0,0,0,0,0,0.04,1.64,11,27,55.102,0,0,1
2,0,1,4,6,|,256,0,0,0,0,0,0,0,0,0,0,13.281,55.078,30.859,0.391,0.391,|,0,0,0.054,0.038,0.034,0,0.047,0,0.025,0.819,28.571,58.492,10.67,0.993,0.256,6,141,55.078,0,0,1
0,0,2,2,3,|,2335,0,0,0.043,0.128,0.128,0,3.126,8.094,55.075,15.161,10.749,6.938,0.3,0.257,0,|,0,0.013,0.014,0.043,0.022,0.042,1.655,8.948,58.388,15.387,8.315,6.498,0.51,0.135,0.03,3,1286,55.075,0,0,1
0,0,0,2,11,|,180,0,0,13.333,55,23.889,5.556,2.222,0,0,0,0,0,0,0,0,|,0,0,13.243,66.168,17.207,2.182,0.911,0,0,0,0,0.004,0.004,0.01,0.27,11,99,55,0,0,1
0,1,5,2,2,|,20,0,5,0,0,0,0,0,55,10,5,10,15,0,0,0,|,0.067,17.249,0.004,0.004,0.001,0.003,0.023,66.71,11.499,1.386,1.816,1.165,0.053,0.012,0.008,2,11,55,0,0,1
0,2,3,3,7,|,20,0,0,0,0,0,0,0,0,0,0,0,0,55,45,0,|,0,0,0.492,0.045,0.06,0.059,0.172,0,0,0.015,3.855,13.046,42.94,35.106,4.209,7,11,55,0,0.008,1
1,1,1,3,3,|,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,|,0,0,0,0,0,0,0,11.66,51.058,31.6,4.882,0.801,0,0,0,3,0,0,1,1,1
1,1,1,3,4,|,3,0,0,0,0,0,0,0,0,0,66.667,33.333,0,0,0,0,|,0,0,0.462,0,0,0,0,0.223,9.62,48.306,36.219,4.496,0.673,0,0,4,2,66.667,0.456,0.906,1
1,0,2,4,13,|,20,0,0,0,0,30,55,15,0,0,0,0,0,0,0,0,|,0,0,0,1.755,33.082,55.036,10.126,0,0,0,0,0,0,0,0,13,11,55,0,0,1
1,1,3,3,13,|,20,0,0,0,20,10,55,15,0,0,0,0,0,0,0,0,|,0,0,0,19.76,20.959,45.858,13.423,0,0,0,0,0,0,0,0,13,11,55,0,0,1
2,0,0,2,8,|,31,0,0,3.226,0,0,0,0,0,0,0,0,0,29.032,54.839,12.903,|,0,0,3.411,0.391,0.209,0.123,0.618,0,0,0,0.001,0.168,11.243,65.868,17.967,8,17,54.839,0,0,1
0,1,3,2,4,|,1884,0,0,0,0,0.053,0.053,0.478,0,9.183,54.724,22.187,12.473,0.69,0.106,0.053,|,0,0,0.054,0.027,0.017,0.016,0.413,0.038,9.587,58.657,19.983,10.311,0.668,0.181,0.049,4,1031,54.724,0,0,1
0,1,2,2,4,|,1537,0,0,0,0,0,0,0.976,0.195,9.239,54.717,21.991,12.167,0.586,0.13,0,|,0,0,0.09,0.052,0.033,0.036,1.284,0.031,8.176,55.655,21.221,12.19,0.895,0.26,0.076,4,841,54.717,0,0,1
0,0,2,2,2,|,795,0,8.679,0.126,0.252,0.126,0.252,4.906,54.717,16.101,3.522,5.409,5.409,0.377,0,0.126,|,0.017,8.025,0.046,0.07,0.024,0.136,3.321,58.514,16.76,2.838,5.347,4.478,0.272,0.078,0.073,2,435,54.717,0,0,1
1,1,1,3,11,|,6,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,0,|,0,0,18.159,43.81,23.593,2.012,0.096,0,0,0,0,0,0.081,0.115,12.134,11,2,33.333,0.112,0,1
0,2,3,2,7,|,53,0,0,0,0,0,0,0,0,0,0,0,13.208,54.717,28.302,3.774,|,0,0,0.244,0.054,0.033,0.003,0.52,0,0.001,0,0.17,13.847,68.52,15.107,1.5,7,29,54.717,0,0,1
1,1,1,3,13,|,6,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,|,0,0,0,21.886,22.309,44.333,11.472,0,0,0,0,0,0,0,0,13,3,50,0.086,0,1
0,1,3,3,5,|,298,0,0,0,0,0,0,0,0,0.671,15.101,54.698,27.517,2.013,0,0,|,0,0,0,0,0,0,0,0.029,0.612,11.573,52.123,33.131,2.446,0.042,0.044,5,163,54.698,0,0,1
1,1,1,4,1,|,3,0,66.667,0,0,0,0,0,0,0,0,0,33.333,0,0,0,|,33.532,38.959,0,0,0,0,0,9.726,0,0,5.583,12.201,0,0,0,1,2,66.667,0.754,0,1
0,2,1,4,5,|,75,0,0,0,0,0,0,0,0,2.667,30.667,54.667,10.667,1.333,0,0,|,0,0.088,0,0.134,0.078,0,0.117,0.048,0.915,19.807,58.733,17.899,1.598,0.535,0.048,5,41,54.667,0,0,1
1,1,2,4,10,|,185,0,0,54.595,10.27,0.541,0,0,0,0,0,0,0,0,1.081,33.514,|,0,0,53.923,9.409,0.532,0.239,0.089,0,0,0,0,0,0,2.132,33.676,10,101,54.595,0,0,1
0,1,0,2,12,|,88,1.136,0,0,17.045,54.545,20.455,6.818,0,0,0,0,0,0,0,0,|,0,0,0.191,13.502,70.773,13.271,2.249,0,0,0,0,0.001,0.006,0.002,0.004,12,48,54.545,0,0,1
2,0,0,4,9,|,22,0,0,18.182,4.545,0,0,0,0,0,0,0,0,0,22.727,54.545,|,0,0,13.601,1.508,0.34,0.069,0.115,0,0,0.004,0,0,1.094,25.12,58.149,9,12,54.545,0,0,1
0,1,1,4,1,|,11,54.545,27.273,0,0,0,0,0,18.182,0,0,0,0,0,0,0,|,52.018,27.81,0,0,0,0,0,7.329,0,0,3.91,8.932,0,0,0,0,6,54.545,0,0,0
0,2,1,4,2,|,11,0,45.455,0,0,0,0,0,54.545,0,0,0,0,0,0,0,|,1.064,40.372,0,0,0,0,0,40.483,8.293,1.473,3.631,4.683,0,0,0,2,6,54.545,0,0,1
0,2,4,2,8,|,11,0,0,0,0,0,0,0,0,0,0,0,0,27.273,54.545,18.182,|,0,0,1.486,0.119,0.053,0.025,0.208,0,0,0,0.004,0.34,17.224,69.339,11.202,8,6,54.545,0,0,1
1,0,5,4,9,|,11,0,0,0,0,0,0,0,0,0,0,0,0,0,54.545,45.455,|,0,0,4.266,0.21,0.021,0.003,0.004,0,0,0.341,0,0,5.252,47.551,42.352,8,6,54.545,0,0,0
1,1,0,2,3,|,11,0,0,0,0,0,0,0,9.091,54.545,36.364,0,0,0,0,0,|,0,0.025,0.085,0.273,0.175,0.263,4.837,9.657,51.275,13.783,8.592,9.524,0.999,0.385,0.127,3,6,54.545,0.001,0,1
0,1,3,2,1,|,46,4.348,54.348,0,0,0,0,6.522,28.261,0,2.174,0,2.174,0,0,2.174,|,8.855,59.407,0.14,0.13,0.379,0.118,4.244,15.993,1.732,0.722,4.887,2.038,0.661,0.548,0.145,1,25,54.348,0,0,1
1,0,0,4,9,|,46,0,0,13.043,4.348,0,0,0,0,0,0,0,0,2.174,26.087,54.348,|,0,0,10.224,0.991,0.215,0.044,0.085,0,0,0.018,0,0,1.763,30.781,55.878,9,25,54.348,0,0,1
2,0,1,4,8,|,140,0,0,1.429,0,0,0,0,0,0,0,0,0.714,12.143,54.286,31.429,|,0,0,1.249,0.185,0.067,0,0,0,0,0,0.013,1.015,25.364,58.715,13.393,8,76,54.286,0,0,1
1,0,5,4,5,|,35,0,0,0,0,0,0,0,0,0,40,54.286,5.714,0,0,0,|,0,0.108,0,0,0,0,0,0.097,1.883,39.244,52.662,5.819,0.165,0.021,0.001,5,19,54.286,0,0,1
1,1,1,5,0,|,2,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,|,41.389,0,0,0,0,0,0,0,0,2.515,2.848,37.013,7.661,4.163,4.412,0,1,50,0.996,0,1
1,1,1,5,5,|,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,0,1.174,0,0,0,0,0,3.916,64.64,22.633,3.195,0,4.443,5,0,0,1,1,1
1,1,0,2,10,|,107,0,0,54.206,17.757,1.869,2.804,0.935,0,0,0,0,0,0,0,22.43,|,0,0,68.699,14.852,2.228,0.274,0.396,0,0,0,0.001,0.006,0.002,0.252,13.29,10,58,54.206,0,0,1
1,1,1,5,9,|,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,|,0,0,6.481,0,0,0,0,0,0,0,0.423,0.961,1.054,19.951,71.129,9,1,50,0.924,0.923,1
1,1,1,5,11,|,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,|,0,0,25.316,64.874,2.259,0,0,0,0,0,0,0,0,1.918,5.634,11,0,0,0.957,0.32,1
1,1,1,5,14,|,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,|,0,0,0,0,5.477,14.765,77.986,0,0,0,0,1.773,0,0,0,14,0,0,1,1,1
1,1,1,6,4,|,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,|,0,0,7.601,0,1.406,1.244,1.116,0.929,0,5.718,8.95,42.727,21.234,5.271,3.805,6,0,0,1,1,0
1,1,1,6,5,|,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,|,0,0,3.673,0,1.471,2.612,1.309,0,1.765,0,15.081,29.141,17.947,16.398,10.602,6,0,0,1,1,0
1,1,1,6,6,|,2,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,|,0,0,3.989,1.84,3.272,0,2.324,0,0.774,0,2.103,29.085,34.947,10.328,11.337,7,0,0,1,1,0
1,1,1,6,8,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,6.076,0,0,0,2.245,0,0,0,1.574,12.017,20.921,36.855,20.311,8,0,0,1,1,1
1,1,1,6,9,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,10.126,0,0,0,2.473,0,1.548,0,2.033,37.16,27.348,3.019,16.293,6,0,0,1,1,0
1,1,1,6,10,|,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,|,0,0,19.987,27.402,0,0,0,0,0,0,0,16.968,10.742,11.888,13.013,11,1,100,1,1,0
1,1,1,6,11,|,4,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,|,0,0,5.371,19.871,33.57,0,5.893,0,0,0,0,21.043,14.251,0,0,12,2,50,0.933,0.093,0
1,1,1,6,12,|,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,|,0,0,0,5.056,27.974,21.353,3.368,0,0,0,0,8.279,18.725,15.245,0,12,0,0,1,1,1
1,1,1,6,13,|,2,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,|,0,0,6.236,0,0,32.935,26.556,0,0,0,3.877,19.489,10.907,0,0,13,1,50,1,0.655,1
0,0,1,6,4,|,24,0,0,4.167,0,0,0,4.167,0,0,4.167,8.333,54.167,12.5,4.167,8.333,|,0,0,5.169,0,1.035,1.022,1.56,1.784,0,8.378,10.961,42.97,19.903,4.378,2.84,6,13,54.167,0,0.838,0
1,1,2,2,0,|,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,50.422,16.762,0.836,0,0,0,6.861,3.224,0.914,2.022,7.273,7.124,1.41,1.542,1.61,0,2,100,0.998,0,1
1,1,2,2,1,|,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,5.358,58.25,0.222,0.209,0.643,0.215,7.998,14.052,1.711,0.825,5.957,2.646,0.906,0.799,0.211,1,5,100,0.06,0,1
1,1,5,2,12,|,24,0,0,0,29.167,54.167,16.667,0,0,0,0,0,0,0,0,0,|,0.049,0,0.823,26.228,63.003,8.948,0.626,0,0,0,0,0.054,0.192,0.042,0.035,12,13,54.167,0,0,1
0,1,3,3,7,|,229,0,0,0,0,0,0,0,0,0,0,3.493,22.707,54.148,17.031,2.62,|,0,0,0.349,0.03,0.029,0.028,0.043,0,0,0.022,5.572,17.131,43.664,29.394,3.738,7,124,54.148,0,0,1
1,0,3,3,5,|,122,0,0,0,0,0,0,0,0,0.82,9.836,54.098,31.967,3.279,0,0,|,0,0,0,0,0,0,0,0.042,0.937,16.115,55.015,26.282,1.567,0.023,0.019,5,66,54.098,0,0,1
1,1,2,2,2,|,37,0,16.216,0,0,0,0,0,54.054,16.216,0,8.108,5.405,0,0,0,|,0.011,8.897,0.113,0.16,0.055,0.279,4.004,51.366,16.172,3.265,7.359,7.506,0.488,0.159,0.165,2,20,54.054,0,0,1
1,0,3,4,6,|,511,0,0,0,0,0,0,0.196,0,0,0.978,42.074,54.012,2.74,0,0,|,0,0,0.005,0.002,0.002,0,0.004,0.029,0.044,1.891,45.067,48.007,4.66,0.25,0.038,6,276,54.012,0,0,1
0,1,3,2,3,|,623,0,0.161,0,0.161,0,0,1.766,7.063,53.933,14.767,11.075,9.952,0.963,0.161,0,|,0,0.014,0.022,0.06,0.029,0.047,1.045,8.817,56.274,15.267,9.26,8.275,0.66,0.186,0.046,3,336,53.933,0,0,1
1,1,3,3,10,|,78,0,0,53.846,23.077,3.846,0,0,0,0,0,0,0,0,10.256,8.974,|,0,0,42.936,19.216,2.992,0.216,0.064,0,0,0,0,0.063,0.064,15.748,18.701,10,42,53.846,0,0,1
1,2,3,2,5,|,39,0,0,0,0,0,0,0,0,0,7.692,53.846,35.897,2.564,0,0,|,0,0,0.02,0.009,0.006,0.012,0.552,0.001,0.06,11.242,65.35,19.854,2.386,0.426,0.082,5,21,53.846,0,0,1
2,0,1,2,5,|,39,0,0,0,0,0,0,0,0,0,2.564,53.846,38.462,5.128,0,0,|,0,0,0.074,0.042,0.02,0.037,0.884,0,0.048,8.897,60.065,25.036,3.8,0.851,0.245,5,21,53.846,0,0,1
0,2,1,4,11,|,26,0,0,30.769,53.846,7.692,0,0,0,0,0,0,0,0,0,7.692,|,0,0,27.29,58.737,11.937,0.483,0.292,0,0,0,0,0,0,0.032,1.228,11,14,53.846,0,0,1
1,0,0,4,10,|,26,0,0,53.846,3.846,0,0,3.846,0,0,0,0,0,0,0,38.462,|,0,0,56.778,10.712,0.758,0.321,0.121,0,0,0,0,0,0,1.662,29.647,10,14,53.846,0,0,1
2,0,0,4,8,|,26,0,0,0,0,0,0,0,0,0,0,0,0,7.692,53.846,38.462,|,0,0,1.471,0.229,0.115,0,0,0,0,0,0.013,0.989,24.122,58.499,14.563,8,14,53.846,0,0,1
