On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
1,2,4,4,5,|,6,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,|,0,0.146,0,0.009,0.005,0,0.004,0.077,1.438,25.877,59.811,11.897,0.594,0.133,0.008,5,6,100,0.015,0.881,1
2,0,1,4,14,|,6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.311,14.063,85.552,0,0,0,0,0.037,0,0.038,0,14,6,100,0,0,1
2,0,1,5,7,|,6,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,0,0.509,0,0.116,0,0,0,0,0.099,11.555,82.427,5.293,0,7,6,100,0,0.088,1
2,2,0,4,14,|,6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.172,8.136,91.684,0,0,0,0,0.002,0,0.005,0,14,6,100,0,0,1
0,1,1,4,0,|,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0,1
0,1,5,3,14,|,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.916,9.642,11.269,77.423,0,0,0,0,0,0,0,0.75,14,5,100,0.003,0,1
0,2,3,4,14,|,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.116,5.91,93.926,0,0,0,0,0.028,0,0.02,0,14,5,100,0,0,1
0,0,0,5,12,|,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,|,0,0,7.329,26.777,65.894,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,1
0,2,4,2,11,|,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,|,0,0,18.287,64.68,14.52,1.43,0.625,0,0,0,0,0.011,0.011,0.021,0.415,11,5,100,0.041,0,1
1,0,1,5,8,|,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,|,0,0,0,0.164,0,0,0,0,0,0,0.82,0.714,16.699,79.512,2.091,8,5,100,0,0.015,1
0,0,0,6,1,|,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,25.382,0,0,0,0,21.967,0,0,0,0,34.646,18.004,0,0,6,0,0,1,1,0
0,0,0,6,3,|,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,3.924,4.016,4.82,0,5.263,0,8.63,8.223,3.94,31.06,24.34,1.87,3.913,6,2,100,1,1,0
0,0,0,6,4,|,3,0,0,0,0,0,0,0,0,0,0,0,66.667,33.333,0,0,|,0,0,6.011,0,1.752,1.841,3.497,1.714,0,7.525,10.269,41.35,18.686,4.306,3.048,6,2,66.667,0.919,1,0
0,0,0,6,5,|,8,0,0,0,0,0,0,0,0,0,0,0,62.5,12.5,12.5,12.5,|,0,0,2.944,0,1.858,3.918,4.157,0,2.82,0,17.535,28.58,16.005,13.576,8.607,6,5,62.5,0.706,1,0
0,0,0,6,6,|,3,0,0,33.333,0,0,0,0,0,0,0,0,0,33.333,33.333,0,|,0,0,3.279,1.716,4.239,0,7.569,0,1.268,0,2.507,29.253,31.961,8.77,9.439,7,1,33.333,0.948,1,0
0,0,0,6,7,|,2,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,|,0,2.06,5.02,0,0,3.227,3.293,0,1.872,0,7.575,16.22,21.261,22.474,16.998,8,1,50,1,1,0
0,0,0,6,8,|,3,0,0,0,0,0,0,0,0,0,0,0,33.333,33.333,0,33.333,|,0,0,5.335,0,0,0,7.812,0,0,0,2.006,12.912,20.44,33.43,18.065,8,0,0,0.95,0.997,1
0,0,0,6,9,|,5,0,0,20,0,0,0,0,0,0,0,0,40,20,20,0,|,0,0,8.334,0,0,0,8.068,0,2.54,0,2.427,37.43,25.048,2.567,13.585,6,2,40,0.749,0.999,0
0,0,0,6,10,|,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,18.293,28.456,0,0,0,0,0,0,0,19.005,10.94,11.241,12.065,11,0,0,1,1,0
0,0,0,6,12,|,4,0,0,0,0,25,0,0,0,0,0,0,25,50,0,0,|,0,0,0,3.828,29.42,26.669,8.907,0,0,0,0,6.761,13.905,10.51,0,12,1,25,0.964,0.004,1
0,0,0,6,13,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,2.904,0,0,28.705,49.013,0,0,0,2.619,11.107,5.652,0,0,14,0,0,1,1,0
1,2,0,4,14,|,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.148,7.11,92.726,0,0,0,0,0.007,0,0.009,0,14,5,100,0,0,1
2,2,0,6,14,|,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.059,0,0.237,0,98.947,0,0,0,0.04,0.268,0.214,0.163,0.072,14,5,100,0,0,1
0,2,5,2,14,|,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.009,0.098,4.154,95.453,0,0,0.006,0,0.075,0.13,0.074,0,14,4,100,0,0,1
1,0,4,3,14,|,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.555,7.915,9.849,81.298,0,0,0,0,0,0,0,0.383,14,4,100,0.017,0,1
1,2,5,2,14,|,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.013,0.133,5.479,93.892,0,0,0.012,0,0.134,0.215,0.121,0,14,4,100,0.001,0,1
0,1,2,4,0,|,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,1
2,0,3,4,14,|,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.253,12.634,86.933,0,0,0,0,0.118,0,0.062,0,14,3,100,0.004,0,1
2,1,3,3,14,|,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.424,7.522,11.119,80.798,0,0,0,0,0,0,0,0.137,14,3,100,0.018,0,1
2,1,5,2,14,|,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.037,0.292,11.181,87.628,0,0,0.011,0,0.236,0.382,0.233,0,14,3,100,0.004,0,1
2,1,5,5,6,|,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,0,0.018,0.013,0,0.004,0,0,0,4.372,92.025,3.256,0.236,0.076,6,3,100,0.001,0.858,1
2,2,3,2,14,|,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.004,0.074,3.949,95.955,0,0,0,0,0.003,0.007,0.008,0,14,3,100,0,0,1
0,0,0,2,14,|,260,0,0,0,0,0,1.923,97.692,0,0,0,0,0.385,0,0,0,|,0,0,0,0.004,0.063,3.461,96.453,0,0,0,0,0.004,0.009,0.007,0,14,254,97.692,0,0,1
0,1,3,3,14,|,75,0,0,0,0,1.333,1.333,97.333,0,0,0,0,0,0,0,0,|,0,0,0,0.29,4.982,7.707,86.898,0,0,0,0,0,0,0,0.122,14,73,97.333,0,0,1
0,1,5,2,14,|,96,0,0,0,0,0,3.125,96.875,0,0,0,0,0,0,0,0,|,0,0,0,0.025,0.187,7.493,91.13,0,0,0.036,0,0.381,0.51,0.239,0,14,93,96.875,0,0,1
1,0,4,2,14,|,175,0,0,0,0,0,3.429,96.571,0,0,0,0,0,0,0,0,|,0,0,0,0.015,0.149,6.36,92.928,0,0,0.017,0,0.181,0.233,0.118,0,14,169,96.571,0,0,1
2,1,2,2,14,|,28,0,0,0,0,0,3.571,96.429,0,0,0,0,0,0,0,0,|,0,0,0,0.007,0.095,5.319,94.549,0,0,0,0,0.005,0.013,0.012,0,14,27,96.429,0,0,1
0,0,1,3,3,|,2,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,|,0,0,0,0,0,0,0,13.596,54.165,28.119,3.631,0.489,0,0,0,3,1,50,0.987,0.72,1
